typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 12637 ok/s p99=12.88ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-after-call_memory.json
FUNCTION                                                             CALLS     WORDS  PER CALL  [    %]
'Elixir.TypeSafe.Request':prepare/1                                   2261   7850225   3472.01  [32.20]
'Elixir.TypeSafe.Response':decode/2                                   2261   6421240   2840.00  [26.34]
'Elixir.TypeSafe.Response':answer/1                                  72352    723520     10.00  [ 2.97]
'Elixir.Mint.HTTP2':encode_data_chunk/4                               6783    647009     95.39  [ 2.65]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-1-'/2                      2261    613363    271.28  [ 2.52]
'Elixir.TypeSafe.Client':submit/3                                     2261    397899    175.98  [ 1.63]
'Elixir.Mint.HTTP2':decode_hbf/2                                      2261    389305    172.18  [ 1.60]
'Elixir.TypeSafe.Response':'valid_answer?'/2                         72352    361760      5.00  [ 1.48]
'Elixir.Mint.HTTP2':handle_new_data/3                                 8137    361167     44.39  [ 1.48]
'Elixir.Mint.HTTP2':request/5                                         2261    339237    150.04  [ 1.39]
'Elixir.Mint.HTTP2':sort_pseudo_headers_to_front/1                    2261    296324    131.06  [ 1.22]
'Elixir.Mint.HTTP2':open_stream/1                                     2261    289618    128.09  [ 1.19]
'Elixir.Mint.HTTP2':'-join_cookie_headers/1-fun-0-'/1                 9044    273833     30.28  [ 1.12]
'Elixir.Mint.HTTP2':'send!'/2                                         6784    245529     36.19  [ 1.01]
'Elixir.TypeSafe.Client':response_event/3                             9044    243373     26.91  [ 1.00]
'Elixir.Mint.HTTP2':delete_stream/2                                   2261    237405    105.00  [ 0.97]
'Elixir.Mint.HTTP2':encode_headers/4                                  2261    226100    100.00  [ 0.93]
'Elixir.TypeSafe.Response':'-decode/2-fun-2-'/1                      72352    217056      3.00  [ 0.89]
'Elixir.TypeSafe.Client':enqueue/3                                    2261    195901     86.64  [ 0.80]
'Elixir.TypeSafe.Client':send_chunk/4                                 4522    192185     42.50  [ 0.79]
'Elixir.Mint.HTTP2':refill_client_windows/3                           2261    178661     79.02  [ 0.73]
'Elixir.TypeSafe.Client':evaluate/2                                   2261    167776     74.20  [ 0.69]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-3-'/3                   6783    160300     23.63  [ 0.66]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-2-'/4                     4522    151344     33.47  [ 0.62]
'Elixir.Mint.HTTP2':handle_decoded_headers_for_stream/5               2261    144704     64.00  [ 0.59]
'Elixir.TypeSafe.Request':encode_body/2                               2261    128877     57.00  [ 0.53]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-1-'/3                     4522    117572     26.00  [ 0.48]
'Elixir.Mint.HTTP2':handle_window_update/3                            2262     97262     43.00  [ 0.40]
'Elixir.TypeSafe.Client':finish/3                                     2261     89281     39.49  [ 0.37]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-2-'/2                   6783     85918     12.67  [ 0.35]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-3-'/2                         2261     83068     36.74  [ 0.34]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-1-'/2                         2261     82815     36.63  [ 0.34]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-0-'/1                     20349     81690      4.01  [ 0.34]
'Elixir.Mint.HTTP2':join_cookie_headers/1                             2261     76874     34.00  [ 0.32]
'Elixir.TypeSafe.Client':'-response_event/3-fun-8-'/4                 2261     74810     33.09  [ 0.31]
'Elixir.TypeSafe.Client':'-submit/3-fun-1-'/3                         2261     73474     32.50  [ 0.30]
'Elixir.TypeSafe.Client':'-response_event/3-fun-2-'/3                 2261     72801     32.20  [ 0.30]
'Elixir.TypeSafe.Client':'-response_event/3-fun-6-'/3                 2261     72507     32.07  [ 0.30]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-4-'/3               2261     72507     32.07  [ 0.30]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-4-'/3                      2261     72422     32.03  [ 0.30]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-3-'/3                2261     72366     32.01  [ 0.30]
'Elixir.Mint.HTTP2':'-handle_decoded_headers_for_stream/5-fun-2-'/2   2261     65850     29.12  [ 0.27]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-7-'/2                   2261     65807     29.11  [ 0.27]
'Elixir.TypeSafe.Client':'-response_event/3-fun-11-'/2                2261     65682     29.05  [ 0.27]
'Elixir.Mint.HTTP2':headers_to_encoded_frames/4                       2261     65576     29.00  [ 0.27]
'Elixir.Mint.HTTP2':'-sort_pseudo_headers_to_front/1-fun-0-'/1       20349     61047      3.00  [ 0.25]
'Elixir.Mint.HTTP2':'-delete_stream/2-fun-1-'/2                       2261     59980     26.53  [ 0.25]
'Elixir.Mint.HTTP2':'-delete_stream/2-fun-0-'/2                       2261     59980     26.53  [ 0.25]
'Elixir.TypeSafe.Client':'-response_event/3-fun-5-'/2                 2261     56693     25.07  [ 0.23]
'Elixir.TypeSafe.Client':'-response_event/3-fun-1-'/2                 2261     56525     25.00  [ 0.23]
'Elixir.TypeSafe.Client':'-response_event/3-fun-7-'/3                 2261     54264     24.00  [ 0.22]
'Elixir.TypeSafe.Client':'-response_event/3-fun-10-'/1                2261     49784     22.02  [ 0.20]
'Elixir.TypeSafe.Client':emit_stop/4                                  2261     49742     22.00  [ 0.20]
'Elixir.TypeSafe.Request':body/2                                      2261     47481     21.00  [ 0.19]
'Elixir.TypeSafe.Client':emit/3                                       4522     46068     10.19  [ 0.19]
'Elixir.Mint.HTTP2':add_pseudo_headers/4                              2261     45220     20.00  [ 0.19]
'Elixir.Mint.HTTP2':split_payload_in_chunks/3                         4522     40782      9.02  [ 0.17]
'Elixir.Mint.HTTP2':encode_data/4                                     4522     40698      9.00  [ 0.17]
'Elixir.Mint.HTTP2':handle_data/3                                     2261     38437     17.00  [ 0.16]
'Elixir.TypeSafe.Client':next/1                                       5763     36176      6.28  [ 0.15]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-3-'/2               2261     36176     16.00  [ 0.15]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-2-'/2                2261     36176     16.00  [ 0.15]
