typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 11297 ok/s p99=15.94ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-after-call_time.json
FUNCTION                                                                CALLS  TIME (us)  PER CALL  [    %]
'Elixir.TypeSafe.Request':prepare/1                                      2261      49061     21.70  [17.96]
'Elixir.TypeSafe.Response':decode/2                                      2261      43154     19.09  [15.80]
'Elixir.Mint.HTTP2':negotiate/4                                             1      32546  32546.00  [11.92]
'Elixir.Mint.HTTP2':'send!'/2                                            6784      16705      2.46  [ 6.12]
'Elixir.TypeSafe.Response':'-decode/2-fun-1-'/2                         72352      11440      0.16  [ 4.19]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-1-'/2                         2261       5145      2.28  [ 1.88]
'Elixir.TypeSafe.Response':'-decode/2-fun-2-'/1                         72352       4894      0.07  [ 1.79]
'Elixir.TypeSafe.Response':'valid_answer?'/2                            72352       4597      0.06  [ 1.68]
'Elixir.TypeSafe.Response':answer/1                                     72352       4254      0.06  [ 1.56]
'Elixir.TypeSafe.Client':evaluate/2                                      2261       3814      1.69  [ 1.40]
'Elixir.Mint.HTTP2':encode_data_chunk/4                                  6783       3582      0.53  [ 1.31]
'Elixir.TypeSafe.Client':submit/3                                        2261       3217      1.42  [ 1.18]
'Elixir.Mint.HTTP2':request/5                                            2261       3195      1.41  [ 1.17]
'Elixir.TypeSafe.Response':'probability?'/1                             72352       3030      0.04  [ 1.11]
'Elixir.Mint.HTTP2':sort_pseudo_headers_to_front/1                       2261       3012      1.33  [ 1.10]
'Elixir.Mint.HTTP2':handle_new_data/3                                    8162       2904      0.36  [ 1.06]
'Elixir.TypeSafe.Client':finish/3                                        2261       2882      1.27  [ 1.06]
'Elixir.TypeSafe.Client':enqueue/3                                       2261       2670      1.18  [ 0.98]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-3-'/3                      6783       2541      0.37  [ 0.93]
'Elixir.Mint.HTTP2':stream/2                                             1376       2506      1.82  [ 0.92]
'Elixir.Mint.HTTP2':headers_to_encoded_frames/4                          2261       1980      0.88  [ 0.72]
'Elixir.Mint.HTTP2':'-join_cookie_headers/1-fun-0-'/1                    9044       1965      0.22  [ 0.72]
'Elixir.Mint.HTTP2':decode_hbf/2                                         2261       1951      0.86  [ 0.71]
'Elixir.TypeSafe.Client':send_chunk/4                                    4522       1938      0.43  [ 0.71]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-2-'/4                        4522       1888      0.42  [ 0.69]
'Elixir.Mint.HTTP2':encode_headers/4                                     2261       1861      0.82  [ 0.68]
'Elixir.TypeSafe.Client':response_event/3                                9044       1830      0.20  [ 0.67]
'Elixir.TypeSafe.Client':now/0                                          21624       1515      0.07  [ 0.55]
'Elixir.Mint.HTTP':conn_apply/3                                         16314       1452      0.09  [ 0.53]
'Elixir.Mint.HTTP2':'-sort_pseudo_headers_to_front/1-fun-0-'/1          20349       1391      0.07  [ 0.51]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-3-'/2                            2261       1324      0.59  [ 0.48]
'Elixir.TypeSafe.Client':start_link/1                                       1       1322   1322.00  [ 0.48]
'Elixir.Mint.HTTP2':get_window_size/2                                    9044       1247      0.14  [ 0.46]
'Elixir.Mint.HTTP2':validate_frame/2                                     6786       1185      0.17  [ 0.43]
'Elixir.Mint.HTTP2':open_stream/1                                        2261       1171      0.52  [ 0.43]
'Elixir.Mint.HTTP2':encode_data/4                                        4522       1132      0.25  [ 0.41]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-0-'/1                        20349       1106      0.05  [ 0.40]
'Elixir.TypeSafe.Client':limit/1                                         8152       1103      0.14  [ 0.40]
'Elixir.TypeSafe.Client':upload/2                                        4522       1102      0.24  [ 0.40]
'Elixir.TypeSafe.Client':'-submit/3-fun-1-'/3                            2261       1079      0.48  [ 0.40]
'Elixir.TypeSafe.Client':emit/3                                          4522       1046      0.23  [ 0.38]
'Elixir.Mint.HTTP2':stream_request_body/3                                4522       1045      0.23  [ 0.38]
'Elixir.TypeSafe.Request':encode_body/2                                  2261       1036      0.46  [ 0.38]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-1-'/2                            2261       1035      0.46  [ 0.38]
'Elixir.Mint.HTTP2':refill_client_windows/3                              2261       1016      0.45  [ 0.37]
'Elixir.Mint.HTTP2':'fetch_stream!'/2                                    6783        953      0.14  [ 0.35]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-7-'/2                      2261        887      0.39  [ 0.32]
'Elixir.TypeSafe.Client':next/1                                          5797        876      0.15  [ 0.32]
'Elixir.TypeSafe.Client':flush_uploads/1                                 3630        840      0.23  [ 0.31]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-4-'/3                         2261        835      0.37  [ 0.31]
'Elixir.TypeSafe.Client':deliver/3                                       2261        813      0.36  [ 0.30]
'Elixir.Mint.HTTP2':get_setting/2                                        8151        807      0.10  [ 0.30]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-2-'/2                      6783        747      0.11  [ 0.27]
'Elixir.TypeSafe.Client':'-response_event/3-fun-8-'/4                    2261        731      0.32  [ 0.27]
'Elixir.Mint.HTTP2':add_default_headers/2                                2261        686      0.30  [ 0.25]
'Elixir.Mint.HTTP2':'-delete_stream/2-fun-1-'/2                          2261        685      0.30  [ 0.25]
'Elixir.TypeSafe.Client':'-response_event/3-fun-2-'/3                    2261        679      0.30  [ 0.25]
'Elixir.TypeSafe.Client':event/2                                         9044        678      0.07  [ 0.25]
'Elixir.Mint.HTTP2':delete_stream/2                                      2261        674      0.30  [ 0.25]
'Elixir.TypeSafe.Client':'-response_event/3-fun-11-'/2                   2261        667      0.30  [ 0.24]
'Elixir.TypeSafe.Client':pump/1                                          3638        664      0.18  [ 0.24]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-4-'/3                  2261        630      0.28  [ 0.23]
'Elixir.TypeSafe.Client':'-response_event/3-fun-6-'/3                    2261        622      0.28  [ 0.23]
'Elixir.Mint.HTTP2':join_cookie_headers/1                                2261        605      0.27  [ 0.22]
'Elixir.Mint.HTTP2':handle_decoded_headers_for_stream/5                  2261        594      0.26  [ 0.22]
'Elixir.Mint.HTTP2':'-handle_decoded_headers_for_stream/5-fun-2-'/2      2261        589      0.26  [ 0.22]
'Elixir.Mint.HTTP2':request_body_window/2                                4522        561      0.12  [ 0.21]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-3-'/3                   2261        555      0.25  [ 0.20]
'Elixir.TypeSafe.Client':dispatch/1                                      5891        524      0.09  [ 0.19]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-1-'/3                        4522        511      0.11  [ 0.19]
'Elixir.Mint.HTTP2':handle_data/3                                        2261        491      0.22  [ 0.18]
'Elixir.TypeSafe.Client':events/2                                        1376        483      0.35  [ 0.18]
'Elixir.Mint.HTTP2':assert_stream_in_state/3                             4522        474      0.10  [ 0.17]
'Elixir.Mint.HTTP2':'-delete_stream/2-fun-0-'/2                          2261        447      0.20  [ 0.16]
'Elixir.TypeSafe.Client':handle_call/3                                   2261        440      0.19  [ 0.16]
'Elixir.Mint.HTTP2':maybe_refill_stream/3                                2261        429      0.19  [ 0.16]
'Elixir.Mint.HTTP2':build_preface/2                                         1        420    420.00  [ 0.15]
'Elixir.Mint.HTTP2':handle_window_update/3                               2262        418      0.18  [ 0.15]
'Elixir.Mint.HTTP2':get_server_setting/2                                 8151        393      0.05  [ 0.14]
'Elixir.Mint.HTTP2':split_payload_in_chunks/3                            4522        391      0.09  [ 0.14]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-1-'/2                      6783        382      0.06  [ 0.14]
'Elixir.TypeSafe.Client':'-response_event/3-fun-5-'/2                    2261        370      0.16  [ 0.14]
'Elixir.Mint.HTTP':protocol/1                                            8151        357      0.04  [ 0.13]
'Elixir.TypeSafe.Client':'-response_event/3-fun-1-'/2                    2261        343      0.15  [ 0.13]
'Elixir.TypeSafe.Client':handle_info/2                                   1377        332      0.24  [ 0.12]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-4-'/2                      6783        329      0.05  [ 0.12]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-3-'/2                  2261        324      0.14  [ 0.12]
'Elixir.Mint.HTTP2':assert_frame_on_right_level/3                        6786        311      0.05  [ 0.11]
'Elixir.Mint.HTTP2':maybe_concat_and_handle_new_data/2                   1376        289      0.21  [ 0.11]
'Elixir.Mint.HTTP2':handle_frame/3                                       6786        288      0.04  [ 0.11]
'Elixir.TypeSafe.Client':'-response_event/3-fun-10-'/1                   2261        283      0.13  [ 0.10]
'Elixir.TypeSafe.Client':'-response_event/3-fun-7-'/3                    2261        282      0.12  [ 0.10]
'Elixir.Mint.HTTP2':assert_frame_doesnt_interrupt_header_streaming/2     6786        278      0.04  [ 0.10]
'Elixir.Mint.HTTP2':assert_stream_id_is_allowed/2                        6786        275      0.04  [ 0.10]
'Elixir.Mint.HTTP2':'-handle_decoded_headers_for_stream/5-fun-1-'/1      2261        268      0.12  [ 0.10]
'Elixir.Mint.HTTP2':add_pseudo_headers/4                                 2261        259      0.11  [ 0.09]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-2-'/2                   2261        244      0.11  [ 0.09]
'Elixir.Mint.HTTP':stream_request_body/3                                 4522        243      0.05  [ 0.09]
'Elixir.Mint.HTTP':request_body_window/2                                 4522        242      0.05  [ 0.09]
'Elixir.Mint.HTTP2':handle_headers/3                                     2261        242      0.11  [ 0.09]
'Elixir.Mint.HTTP2':encode_stream_body_request_payload/3                 4522        238      0.05  [ 0.09]
