typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 9405 ok/s p99=15.04ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-before-call_memory.json
FUNCTION                                                              CALLS     WORDS  PER CALL  [    %]
'Elixir.TypeSafe.Request':prepare/1                                    2261   7850225   3472.01  [30.06]
'Elixir.TypeSafe.Response':decode/2                                    2261   6421240   2840.00  [24.59]
'Elixir.TypeSafe.Client':flush_uploads/1                               6115   1053328    172.25  [ 4.03]
'Elixir.TypeSafe.Response':answer/1                                   72352    723520     10.00  [ 2.77]
'Elixir.Mint.HTTP2':encode_data_chunk/4                                6783    645435     95.15  [ 2.47]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-1-'/2                       2261    612629    270.95  [ 2.35]
'Elixir.TypeSafe.Client':submit/3                                      2261    448093    198.18  [ 1.72]
'Elixir.Mint.HTTP2':decode_hbf/2                                       2261    389305    172.18  [ 1.49]
'Elixir.Mint.HTTP2':handle_new_data/3                                  8386    370634     44.20  [ 1.42]
'Elixir.TypeSafe.Client':send_chunk/4                                  6783    370223     54.58  [ 1.42]
'Elixir.TypeSafe.Response':'valid_answer?'/2                          72352    361760      5.00  [ 1.39]
'Elixir.Mint.HTTP2':request/5                                          2261    339341    150.08  [ 1.30]
'Elixir.Mint.HTTP2':'send!'/2                                          9045    304363     33.65  [ 1.17]
'Elixir.Mint.HTTP2':sort_pseudo_headers_to_front/1                     2261    296198    131.00  [ 1.13]
'Elixir.Mint.HTTP2':open_stream/1                                      2261    289408    128.00  [ 1.11]
'Elixir.Mint.HTTP2':'-join_cookie_headers/1-fun-0-'/1                  9044    273623     30.25  [ 1.05]
'Elixir.TypeSafe.Client':response_event/3                              9044    243284     26.90  [ 0.93]
'Elixir.Mint.HTTP2':delete_stream/2                                    2261    237405    105.00  [ 0.91]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-2-'/4                      6783    234474     34.57  [ 0.90]
