==> typesafe_ai
Compiling 12 files (.ex)
typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 8108 ok/s p99=17.0ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-before-call_time.json
FUNCTION                                                                 CALLS  TIME (us)  PER CALL  [    %]
'Elixir.TypeSafe.Request':prepare/1                                       2261      48207     21.32  [14.49]
'Elixir.TypeSafe.Response':decode/2                                       2261      41990     18.57  [12.62]
'Elixir.Mint.HTTP2':negotiate/4                                              1      29836  29836.00  [ 8.97]
'Elixir.TypeSafe.Client':upload/2                                       209808      23254      0.11  [ 6.99]
'Elixir.Mint.HTTP2':'send!'/2                                             9045      18458      2.04  [ 5.55]
'Elixir.TypeSafe.Client':now/0                                          228226      18443      0.08  [ 5.54]
'Elixir.TypeSafe.Client':flush_uploads/1                                  6115      11508      1.88  [ 3.46]
'Elixir.TypeSafe.Response':'-decode/2-fun-1-'/2                          72352      11317      0.16  [ 3.40]
'Elixir.TypeSafe.Client':'-flush_uploads/1-fun-0-'/2                    203025       7430      0.04  [ 2.23]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-1-'/2                          2261       5429      2.40  [ 1.63]
'Elixir.TypeSafe.Response':'-decode/2-fun-2-'/1                          72352       4913      0.07  [ 1.48]
'Elixir.TypeSafe.Response':'valid_answer?'/2                             72352       4616      0.06  [ 1.39]
'Elixir.TypeSafe.Response':answer/1                                      72352       4195      0.06  [ 1.26]
'Elixir.TypeSafe.Client':submit/3                                         2261       3807      1.68  [ 1.14]
'Elixir.Mint.HTTP2':encode_data_chunk/4                                   6783       3548      0.52  [ 1.07]
'Elixir.TypeSafe.Client':send_chunk/4                                     6783       3415      0.50  [ 1.03]
'Elixir.Mint.HTTP2':handle_new_data/3                                     8386       3339      0.40  [ 1.00]
'Elixir.TypeSafe.Client':evaluate/2                                       2261       3320      1.47  [ 1.00]
'Elixir.Mint.HTTP2':request/5                                             2261       3173      1.40  [ 0.95]
'Elixir.TypeSafe.Client':enqueue/3                                        2261       2847      1.26  [ 0.86]
'Elixir.TypeSafe.Response':'probability?'/1                              72352       2841      0.04  [ 0.85]
'Elixir.Mint.HTTP2':sort_pseudo_headers_to_front/1                        2261       2734      1.21  [ 0.82]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-2-'/4                         6783       2710      0.40  [ 0.81]
'Elixir.TypeSafe.Client':finish/3                                         2261       2674      1.18  [ 0.80]
'Elixir.Mint.HTTP2':stream/2                                              1600       2656      1.66  [ 0.80]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-3-'/3                       6783       2217      0.33  [ 0.67]
'Elixir.Mint.HTTP2':decode_hbf/2                                          2261       2015      0.89  [ 0.61]
'Elixir.TypeSafe.Client':response_event/3                                 9044       2000      0.22  [ 0.60]
'Elixir.Mint.HTTP2':'-join_cookie_headers/1-fun-0-'/1                     9044       1954      0.22  [ 0.59]
'Elixir.Mint.HTTP':conn_apply/3                                          23545       1892      0.08  [ 0.57]
'Elixir.Mint.HTTP2':get_window_size/2                                    13566       1820      0.13  [ 0.55]
'Elixir.Mint.HTTP2':encode_headers/4                                      2261       1768      0.78  [ 0.53]
'Elixir.Mint.HTTP2':'fetch_stream!'/2                                     9044       1737      0.19  [ 0.52]
'Elixir.Mint.HTTP2':stream_request_body/3                                 6783       1638      0.24  [ 0.49]
'Elixir.TypeSafe.Client':limit/1                                         10637       1463      0.14  [ 0.44]
